Entry	Entry Name	Protein names	Gene Names	Organism	Length	Domain [FT]
A0A7J7VXI5	A0A7J7VXI5_MYOMY	Engulfment and cell motility 2	mMyoMyo1_004424	Myotis myotis (Greater mouse-eared bat)	575	DOMAIN 166..340; /note="ELMO"; /evidence="ECO:0000259|PROSITE:PS51335"
A0A7J7VXU7	A0A7J7VXU7_MYOMY	Engulfment and cell motility 2	mMyoMyo1_004424	Myotis myotis (Greater mouse-eared bat)	720	DOMAIN 311..485; /note="ELMO"; /evidence="ECO:0000259|PROSITE:PS51335"
A0A7J7VY12	A0A7J7VY12_MYOMY	Engulfment and cell motility 2	mMyoMyo1_004424	Myotis myotis (Greater mouse-eared bat)	523	DOMAIN 114..288; /note="ELMO"; /evidence="ECO:0000259|PROSITE:PS51335"
A0A7J7VY18	A0A7J7VY18_MYOMY	Engulfment and cell motility 2	mMyoMyo1_004424	Myotis myotis (Greater mouse-eared bat)	632	DOMAIN 223..397; /note="ELMO"; /evidence="ECO:0000259|PROSITE:PS51335"
A0A7J7VY48	A0A7J7VY48_MYOMY	Engulfment and cell motility 2	mMyoMyo1_004424	Myotis myotis (Greater mouse-eared bat)	720	DOMAIN 311..485; /note="ELMO"; /evidence="ECO:0000259|PROSITE:PS51335"
A0A7J7Y8C0	A0A7J7Y8C0_PIPKU	Engulfment and cell motility 2	mPipKuh1_004361	Pipistrellus kuhlii (Kuhl's pipistrelle)	718	DOMAIN 309..483; /note="ELMO"; /evidence="ECO:0000259|PROSITE:PS51335"
A0A7J7Y8I9	A0A7J7Y8I9_PIPKU	Engulfment and cell motility 2	mPipKuh1_004361	Pipistrellus kuhlii (Kuhl's pipistrelle)	716	DOMAIN 311..485; /note="ELMO"; /evidence="ECO:0000259|PROSITE:PS51335"
A0A7J7Y8N1	A0A7J7Y8N1_PIPKU	Engulfment and cell motility 2	mPipKuh1_004361	Pipistrellus kuhlii (Kuhl's pipistrelle)	675	DOMAIN 284..440; /note="ELMO"; /evidence="ECO:0000259|PROSITE:PS51335"
A0A7J7Y8Q2	A0A7J7Y8Q2_PIPKU	Engulfment and cell motility 2	mPipKuh1_004361	Pipistrellus kuhlii (Kuhl's pipistrelle)	732	DOMAIN 323..497; /note="ELMO"; /evidence="ECO:0000259|PROSITE:PS51335"
A0A7J7Y958	A0A7J7Y958_PIPKU	Engulfment and cell motility 2	mPipKuh1_004361	Pipistrellus kuhlii (Kuhl's pipistrelle)	720	DOMAIN 311..485; /note="ELMO"; /evidence="ECO:0000259|PROSITE:PS51335"
A0A7J8BWK4	A0A7J8BWK4_MOLMO	CRK like proto-oncogene, adaptor protein	HJG59_003352	Molossus molossus (Pallas' mastiff bat) (Vespertilio molossus)	303	DOMAIN 14..102; /note="SH2"; /evidence="ECO:0000259|PROSITE:PS50001"; DOMAIN 123..183; /note="SH3"; /evidence="ECO:0000259|PROSITE:PS50002"; DOMAIN 235..296; /note="SH3"; /evidence="ECO:0000259|PROSITE:PS50002"
A0A7J8C737	A0A7J8C737_MOLMO	Engulfment and cell motility 3	HJG59_004435	Molossus molossus (Pallas' mastiff bat) (Vespertilio molossus)	720	DOMAIN 307..479; /note="ELMO"; /evidence="ECO:0000259|PROSITE:PS51335"
A0A7J8CFT1	A0A7J8CFT1_ROUAE	Engulfment and cell motility 3	HJG63_004425	Rousettus aegyptiacus (Egyptian rousette) (Egyptian fruit bat)	720	DOMAIN 307..479; /note="ELMO"; /evidence="ECO:0000259|PROSITE:PS51335"
A0A7J8CFT7	A0A7J8CFT7_ROUAE	Engulfment and cell motility 3	HJG63_004425	Rousettus aegyptiacus (Egyptian rousette) (Egyptian fruit bat)	723	DOMAIN 310..482; /note="ELMO"; /evidence="ECO:0000259|PROSITE:PS51335"
A0A7J8CWR2	A0A7J8CWR2_MOLMO	CRK proto-oncogene, adaptor protein	HJG59_003351	Molossus molossus (Pallas' mastiff bat) (Vespertilio molossus)	204	DOMAIN 13..118; /note="SH2"; /evidence="ECO:0000259|PROSITE:PS50001"; DOMAIN 132..192; /note="SH3"; /evidence="ECO:0000259|PROSITE:PS50002"
A0A7J8CWX5	A0A7J8CWX5_MOLMO	CRK proto-oncogene, adaptor protein	HJG59_003351	Molossus molossus (Pallas' mastiff bat) (Vespertilio molossus)	269	DOMAIN 13..118; /note="SH2"; /evidence="ECO:0000259|PROSITE:PS50001"; DOMAIN 132..192; /note="SH3"; /evidence="ECO:0000259|PROSITE:PS50002"
A0A7J8CXB7	A0A7J8CXB7_MOLMO	CRK proto-oncogene, adaptor protein	HJG59_003351	Molossus molossus (Pallas' mastiff bat) (Vespertilio molossus)	304	DOMAIN 13..118; /note="SH2"; /evidence="ECO:0000259|PROSITE:PS50001"; DOMAIN 132..192; /note="SH3"; /evidence="ECO:0000259|PROSITE:PS50002"; DOMAIN 235..296; /note="SH3"; /evidence="ECO:0000259|PROSITE:PS50002"
A0A7J8D531	A0A7J8D531_ROUAE	Engulfment and cell motility 1	HJG63_004423	Rousettus aegyptiacus (Egyptian rousette) (Egyptian fruit bat)	727	DOMAIN 319..492; /note="ELMO"; /evidence="ECO:0000259|PROSITE:PS51335"
A0A7J8DGD6	A0A7J8DGD6_ROUAE	Engulfment and cell motility 2	HJG63_004424	Rousettus aegyptiacus (Egyptian rousette) (Egyptian fruit bat)	467	DOMAIN 58..232; /note="ELMO"; /evidence="ECO:0000259|PROSITE:PS51335"
A0A7J8DGG4	A0A7J8DGG4_ROUAE	Engulfment and cell motility 2	HJG63_004424	Rousettus aegyptiacus (Egyptian rousette) (Egyptian fruit bat)	537	DOMAIN 128..302; /note="ELMO"; /evidence="ECO:0000259|PROSITE:PS51335"
A0A7J8DGL2	A0A7J8DGL2_ROUAE	Engulfment and cell motility 2	HJG63_004424	Rousettus aegyptiacus (Egyptian rousette) (Egyptian fruit bat)	570	DOMAIN 227..401; /note="ELMO"; /evidence="ECO:0000259|PROSITE:PS51335"
A0A7J8DGN3	A0A7J8DGN3_ROUAE	Engulfment and cell motility 2	HJG63_004424	Rousettus aegyptiacus (Egyptian rousette) (Egyptian fruit bat)	718	DOMAIN 309..483; /note="ELMO"; /evidence="ECO:0000259|PROSITE:PS51335"
A0A7J8DGN5	A0A7J8DGN5_ROUAE	Engulfment and cell motility 2	HJG63_004424	Rousettus aegyptiacus (Egyptian rousette) (Egyptian fruit bat)	732	DOMAIN 323..497; /note="ELMO"; /evidence="ECO:0000259|PROSITE:PS51335"
A0A7J8DGV2	A0A7J8DGV2_ROUAE	Engulfment and cell motility 2	HJG63_004424	Rousettus aegyptiacus (Egyptian rousette) (Egyptian fruit bat)	521	DOMAIN 112..286; /note="ELMO"; /evidence="ECO:0000259|PROSITE:PS51335"
A0A7J8DGX4	A0A7J8DGX4_ROUAE	Engulfment and cell motility 2	HJG63_004424	Rousettus aegyptiacus (Egyptian rousette) (Egyptian fruit bat)	495	DOMAIN 86..260; /note="ELMO"; /evidence="ECO:0000259|PROSITE:PS51335"
A0A7J8DH70	A0A7J8DH70_ROUAE	Engulfment and cell motility 2	HJG63_004424	Rousettus aegyptiacus (Egyptian rousette) (Egyptian fruit bat)	720	DOMAIN 311..485; /note="ELMO"; /evidence="ECO:0000259|PROSITE:PS51335"
A0A7J8DI37	A0A7J8DI37_ROUAE	Ubiquitin-60S ribosomal protein L40	HJG63_008576	Rousettus aegyptiacus (Egyptian rousette) (Egyptian fruit bat)	848	DOMAIN 305..393; /note="SH2"; /evidence="ECO:0000259|PROSITE:PS50001"; DOMAIN 398..458; /note="SH3"; /evidence="ECO:0000259|PROSITE:PS50002"; DOMAIN 511..538; /note="C2H2-type"; /evidence="ECO:0000259|PROSITE:PS50157"; DOMAIN 576..603; /note="C2H2-type"; /evidence="ECO:0000259|PROSITE:PS50157"; DOMAIN 632..659; /note="C2H2-type"; /evidence="ECO:0000259|PROSITE:PS50157"; DOMAIN 693..720; /note="C2H2-type"; /evidence="ECO:0000259|PROSITE:PS50157"; DOMAIN 801..828; /note="C2H2-type"; /evidence="ECO:0000259|PROSITE:PS50157"
A0A7J8GAP7	A0A7J8GAP7_ROUAE	Adapter molecule crk	HJG63_011641	Rousettus aegyptiacus (Egyptian rousette) (Egyptian fruit bat)	204	DOMAIN 13..118; /note="SH2"; /evidence="ECO:0000259|PROSITE:PS50001"; DOMAIN 132..192; /note="SH3"; /evidence="ECO:0000259|PROSITE:PS50002"
A0A7J8GAS9	A0A7J8GAS9_ROUAE	Adapter molecule crk	HJG63_011641	Rousettus aegyptiacus (Egyptian rousette) (Egyptian fruit bat)	304	DOMAIN 13..118; /note="SH2"; /evidence="ECO:0000259|PROSITE:PS50001"; DOMAIN 132..192; /note="SH3"; /evidence="ECO:0000259|PROSITE:PS50002"; DOMAIN 235..296; /note="SH3"; /evidence="ECO:0000259|PROSITE:PS50002"
A0A7J8GXW1	A0A7J8GXW1_ROUAE	CRK like proto-oncogene, adaptor protein	HJG63_003351	Rousettus aegyptiacus (Egyptian rousette) (Egyptian fruit bat)	303	DOMAIN 14..102; /note="SH2"; /evidence="ECO:0000259|PROSITE:PS50001"; DOMAIN 123..183; /note="SH3"; /evidence="ECO:0000259|PROSITE:PS50002"; DOMAIN 235..296; /note="SH3"; /evidence="ECO:0000259|PROSITE:PS50002"
A0A7J8HAK6	A0A7J8HAK6_MOLMO	Engulfment and cell motility 1	HJG59_004433	Molossus molossus (Pallas' mastiff bat) (Vespertilio molossus)	727	DOMAIN 319..492; /note="ELMO"; /evidence="ECO:0000259|PROSITE:PS51335"
A0A7J8HAN9	A0A7J8HAN9_MOLMO	Engulfment and cell motility 1	HJG59_004433	Molossus molossus (Pallas' mastiff bat) (Vespertilio molossus)	608	DOMAIN 302..475; /note="ELMO"; /evidence="ECO:0000259|PROSITE:PS51335"
A0A7J8HB14	A0A7J8HB14_MOLMO	Engulfment and cell motility 1	HJG59_004433	Molossus molossus (Pallas' mastiff bat) (Vespertilio molossus)	760	DOMAIN 352..525; /note="ELMO"; /evidence="ECO:0000259|PROSITE:PS51335"
A0A7J8HBI4	A0A7J8HBI4_MOLMO	Engulfment and cell motility 1	HJG59_004433	Molossus molossus (Pallas' mastiff bat) (Vespertilio molossus)	314	DOMAIN 1..79; /note="ELMO"; /evidence="ECO:0000259|PROSITE:PS51335"
A0A7J8HGG3	A0A7J8HGG3_MOLMO	Engulfment and cell motility 2	HJG59_004434	Molossus molossus (Pallas' mastiff bat) (Vespertilio molossus)	439	DOMAIN 30..204; /note="ELMO"; /evidence="ECO:0000259|PROSITE:PS51335"
A0A7J8HGM6	A0A7J8HGM6_MOLMO	Engulfment and cell motility 2	HJG59_004434	Molossus molossus (Pallas' mastiff bat) (Vespertilio molossus)	720	DOMAIN 311..485; /note="ELMO"; /evidence="ECO:0000259|PROSITE:PS51335"
A0A7J8HGR3	A0A7J8HGR3_MOLMO	Engulfment and cell motility 2	HJG59_004434	Molossus molossus (Pallas' mastiff bat) (Vespertilio molossus)	718	DOMAIN 309..483; /note="ELMO"; /evidence="ECO:0000259|PROSITE:PS51335"
A0A7J8HH23	A0A7J8HH23_MOLMO	Engulfment and cell motility 2	HJG59_004434	Molossus molossus (Pallas' mastiff bat) (Vespertilio molossus)	732	DOMAIN 323..497; /note="ELMO"; /evidence="ECO:0000259|PROSITE:PS51335"
A0A7K4J059	A0A7K4J059_GEOCA	CRKL protein	Crkl_0 GEOCAL_R07804	Geococcyx californianus (Greater roadrunner) (Saurothera californiana)	199	DOMAIN 20..80; /note="SH3"; /evidence="ECO:0000259|PROSITE:PS50002"; DOMAIN 131..192; /note="SH3"; /evidence="ECO:0000259|PROSITE:PS50002"
A0A7K4JB23	A0A7K4JB23_GEOCA	ELMO2 protein	Elmo2 GEOCAL_R10722	Geococcyx californianus (Greater roadrunner) (Saurothera californiana)	720	DOMAIN 311..485; /note="ELMO"; /evidence="ECO:0000259|PROSITE:PS51335"
A0A7K4JEQ8	A0A7K4JEQ8_GEOCA	ELMO1 protein	Elmo1 GEOCAL_R03089	Geococcyx californianus (Greater roadrunner) (Saurothera californiana)	744	DOMAIN 332..505; /note="ELMO"; /evidence="ECO:0000259|PROSITE:PS51335"
A0A7K4JLE7	A0A7K4JLE7_GEOCA	ELMO3 protein	Elmo3 GEOCAL_R06905	Geococcyx californianus (Greater roadrunner) (Saurothera californiana)	743	DOMAIN 331..504; /note="ELMO"; /evidence="ECO:0000259|PROSITE:PS51335"
A0A7K4JZA1	A0A7K4JZA1_9AVES	CRK protein	Crk CRYSOU_R13998	Crypturellus soui	305	DOMAIN 13..119; /note="SH2"; /evidence="ECO:0000259|PROSITE:PS50001"; DOMAIN 133..193; /note="SH3"; /evidence="ECO:0000259|PROSITE:PS50002"; DOMAIN 236..297; /note="SH3"; /evidence="ECO:0000259|PROSITE:PS50002"
A0A7K4K1C5	A0A7K4K1C5_9AVES	ELMO3 protein	Elmo3 CRYSOU_R12788	Crypturellus soui	719	DOMAIN 307..480; /note="ELMO"; /evidence="ECO:0000259|PROSITE:PS51335"
A0A7K4KFC2	A0A7K4KFC2_9AVES	ELMO2 protein	Elmo2 CRYSOU_R13415	Crypturellus soui	720	DOMAIN 311..485; /note="ELMO"; /evidence="ECO:0000259|PROSITE:PS51335"
A0A7K4KRZ0	A0A7K4KRZ0_9AVES	ELMO1 protein	Elmo1 CRYSOU_R11200	Crypturellus soui	752	DOMAIN 332..505; /note="ELMO"; /evidence="ECO:0000259|PROSITE:PS51335"
A0A7K4LH74	A0A7K4LH74_9AVES	ELMO2 protein	Elmo2 CRYUND_R01550	Crypturellus undulatus	720	DOMAIN 311..485; /note="ELMO"; /evidence="ECO:0000259|PROSITE:PS51335"
A0A7K4LMG1	A0A7K4LMG1_9AVES	CRK protein	Crk CRYUND_R06162	Crypturellus undulatus	305	DOMAIN 13..119; /note="SH2"; /evidence="ECO:0000259|PROSITE:PS50001"; DOMAIN 133..193; /note="SH3"; /evidence="ECO:0000259|PROSITE:PS50002"; DOMAIN 236..297; /note="SH3"; /evidence="ECO:0000259|PROSITE:PS50002"
A0A7K4M1V9	A0A7K4M1V9_9AVES	ELMO3 protein	Elmo3 CRYUND_R10847	Crypturellus undulatus	719	DOMAIN 307..480; /note="ELMO"; /evidence="ECO:0000259|PROSITE:PS51335"
A0A7K4P9A4	A0A7K4P9A4_MELMO	ELMO2 protein	Elmo2 MELMEL_R09816	Melospiza melodia (Song sparrow) (Fringilla melodia)	720	DOMAIN 311..485; /note="ELMO"; /evidence="ECO:0000259|PROSITE:PS51335"
A0A7K4PDM8	A0A7K4PDM8_MELMO	ELMO3 protein	Elmo3 MELMEL_R05602	Melospiza melodia (Song sparrow) (Fringilla melodia)	719	DOMAIN 307..480; /note="ELMO"; /evidence="ECO:0000259|PROSITE:PS51335"
A0A7K4PYZ8	A0A7K4PYZ8_MELMO	ELMO1 protein	Elmo1 MELMEL_R00168	Melospiza melodia (Song sparrow) (Fringilla melodia)	744	DOMAIN 332..505; /note="ELMO"; /evidence="ECO:0000259|PROSITE:PS51335"
A0A7K4QJU6	A0A7K4QJU6_9TYRA	ELMO2 protein	Elmo2 NEOCIN_R05925	Neopipo cinnamomea	747	DOMAIN 311..485; /note="ELMO"; /evidence="ECO:0000259|PROSITE:PS51335"
A0A7K4QQT4	A0A7K4QQT4_9TYRA	ELMO3 protein	Elmo3 NEOCIN_R08957	Neopipo cinnamomea	719	DOMAIN 307..480; /note="ELMO"; /evidence="ECO:0000259|PROSITE:PS51335"
A0A7K4R2F4	A0A7K4R2F4_9TYRA	ELMO1 protein	Elmo1_1 NEOCIN_R15183	Neopipo cinnamomea	288	DOMAIN 1..49; /note="ELMO"; /evidence="ECO:0000259|PROSITE:PS51335"
A0A7K4RV74	A0A7K4RV74_COLPI	ELMO3 protein	Elmo3 COLPIC_R01620	Columbina picui (Picui ground-dove)	719	DOMAIN 307..480; /note="ELMO"; /evidence="ECO:0000259|PROSITE:PS51335"
A0A7K4RXM4	A0A7K4RXM4_COLPI	CRK protein	Crk COLPIC_R11097	Columbina picui (Picui ground-dove)	305	DOMAIN 13..119; /note="SH2"; /evidence="ECO:0000259|PROSITE:PS50001"; DOMAIN 133..193; /note="SH3"; /evidence="ECO:0000259|PROSITE:PS50002"; DOMAIN 236..297; /note="SH3"; /evidence="ECO:0000259|PROSITE:PS50002"
A0A7K4S4B9	A0A7K4S4B9_COLPI	ELMO2 protein	Elmo2 COLPIC_R12443	Columbina picui (Picui ground-dove)	720	DOMAIN 311..485; /note="ELMO"; /evidence="ECO:0000259|PROSITE:PS51335"
A0A7K4SPH2	A0A7K4SPH2_9CHAR	CRK protein	Crk BURBIS_R03584	Burhinus bistriatus	313	DOMAIN 13..127; /note="SH2"; /evidence="ECO:0000259|PROSITE:PS50001"; DOMAIN 141..201; /note="SH3"; /evidence="ECO:0000259|PROSITE:PS50002"; DOMAIN 244..305; /note="SH3"; /evidence="ECO:0000259|PROSITE:PS50002"
A0A7K4SY62	A0A7K4SY62_9CHAR	ELMO3 protein	Elmo3 BURBIS_R03323	Burhinus bistriatus	714	DOMAIN 302..475; /note="ELMO"; /evidence="ECO:0000259|PROSITE:PS51335"
A0A7K4T087	A0A7K4T087_9CHAR	ELMO1 protein	Elmo1 BURBIS_R03895	Burhinus bistriatus	744	DOMAIN 332..505; /note="ELMO"; /evidence="ECO:0000259|PROSITE:PS51335"
A0A7K4T9Q1	A0A7K4T9Q1_9CHAR	ELMO2 protein	Elmo2 BURBIS_R04543	Burhinus bistriatus	720	DOMAIN 311..485; /note="ELMO"; /evidence="ECO:0000259|PROSITE:PS51335"
A0A7K4U2X5	A0A7K4U2X5_9SYLV	ELMO3 protein	Elmo3 SINWEB_R12173	Sinosuthora webbiana	719	DOMAIN 307..480; /note="ELMO"; /evidence="ECO:0000259|PROSITE:PS51335"
A0A7K4U8S7	A0A7K4U8S7_9SYLV	ELMO1 protein	Elmo1 SINWEB_R11650	Sinosuthora webbiana	744	DOMAIN 332..505; /note="ELMO"; /evidence="ECO:0000259|PROSITE:PS51335"
A0A7K4U9T9	A0A7K4U9T9_9SYLV	ELMO2 protein	Elmo2 SINWEB_R01761	Sinosuthora webbiana	710	DOMAIN 311..485; /note="ELMO"; /evidence="ECO:0000259|PROSITE:PS51335"
A0A7K4UV39	A0A7K4UV39_9EMBE	ELMO1 protein	Elmo1 EMBFUC_R03093	Emberiza fucata	744	DOMAIN 332..505; /note="ELMO"; /evidence="ECO:0000259|PROSITE:PS51335"
A0A7K4VA82	A0A7K4VA82_9EMBE	ELMO2 protein	Elmo2 EMBFUC_R08724	Emberiza fucata	720	DOMAIN 311..485; /note="ELMO"; /evidence="ECO:0000259|PROSITE:PS51335"
A0A7K4VEE0	A0A7K4VEE0_9EMBE	ELMO3 protein	Elmo3 EMBFUC_R07532	Emberiza fucata	719	DOMAIN 307..480; /note="ELMO"; /evidence="ECO:0000259|PROSITE:PS51335"
A0A7K4W2I2	A0A7K4W2I2_9TYRA	ELMO1 protein	Elmo1 TACRUB_R12974	Tachuris rubrigastra	742	DOMAIN 332..507; /note="ELMO"; /evidence="ECO:0000259|PROSITE:PS51335"
A0A7K4WJZ2	A0A7K4WJZ2_9TYRA	ELMO3 protein	Elmo3 TACRUB_R00490	Tachuris rubrigastra	745	DOMAIN 333..506; /note="ELMO"; /evidence="ECO:0000259|PROSITE:PS51335"
A0A7K4WLI6	A0A7K4WLI6_9TYRA	ELMO2 protein	Elmo2 TACRUB_R03476	Tachuris rubrigastra	747	DOMAIN 311..485; /note="ELMO"; /evidence="ECO:0000259|PROSITE:PS51335"
A0A7K4X9C4	A0A7K4X9C4_REGSA	ELMO1 protein	Elmo1 REGSAT_R07857	Regulus satrapa (Golden-crowned kinglet)	740	DOMAIN 332..505; /note="ELMO"; /evidence="ECO:0000259|PROSITE:PS51335"
A0A7K4XBI6	A0A7K4XBI6_REGSA	ELMO2 protein	Elmo2 REGSAT_R03192	Regulus satrapa (Golden-crowned kinglet)	720	DOMAIN 311..485; /note="ELMO"; /evidence="ECO:0000259|PROSITE:PS51335"
A0A7K4XN40	A0A7K4XN40_REGSA	CRK protein	Crk REGSAT_R03130	Regulus satrapa (Golden-crowned kinglet)	223	DOMAIN 51..111; /note="SH3"; /evidence="ECO:0000259|PROSITE:PS50002"; DOMAIN 154..215; /note="SH3"; /evidence="ECO:0000259|PROSITE:PS50002"
A0A7K4XW64	A0A7K4XW64_REGSA	ELMO3 protein	Elmo3 REGSAT_R11669	Regulus satrapa (Golden-crowned kinglet)	656	DOMAIN 283..456; /note="ELMO"; /evidence="ECO:0000259|PROSITE:PS51335"
A0A7K4Y838	A0A7K4Y838_BUCAB	ELMO1 protein	Elmo1 BUCABY_R09287	Bucorvus abyssinicus (Northern ground-hornbill) (Abyssinian ground-hornbill)	763	DOMAIN 332..505; /note="ELMO"; /evidence="ECO:0000259|PROSITE:PS51335"
A0A7K4YEM0	A0A7K4YEM0_BUCAB	CRK protein	Crk BUCABY_R03925	Bucorvus abyssinicus (Northern ground-hornbill) (Abyssinian ground-hornbill)	305	DOMAIN 13..119; /note="SH2"; /evidence="ECO:0000259|PROSITE:PS50001"; DOMAIN 133..193; /note="SH3"; /evidence="ECO:0000259|PROSITE:PS50002"; DOMAIN 236..297; /note="SH3"; /evidence="ECO:0000259|PROSITE:PS50002"
A0A7K4Z1I9	A0A7K4Z1I9_BUCAB	ELMO2 protein	Elmo2 BUCABY_R12671	Bucorvus abyssinicus (Northern ground-hornbill) (Abyssinian ground-hornbill)	720	DOMAIN 311..485; /note="ELMO"; /evidence="ECO:0000259|PROSITE:PS51335"
A0A7K4ZIY6	A0A7K4ZIY6_9AVES	ELMO1 protein	Elmo1 CENUNI_R07788	Centropus unirufus	744	DOMAIN 332..505; /note="ELMO"; /evidence="ECO:0000259|PROSITE:PS51335"
A0A7K5A670	A0A7K5A670_9AVES	ELMO2 protein	Elmo2 CENUNI_R05027	Centropus unirufus	720	DOMAIN 311..485; /note="ELMO"; /evidence="ECO:0000259|PROSITE:PS51335"
A0A7K5AAZ5	A0A7K5AAZ5_9AVES	ELMO3 protein	Elmo3 CENUNI_R02768	Centropus unirufus	745	DOMAIN 333..506; /note="ELMO"; /evidence="ECO:0000259|PROSITE:PS51335"
A0A7K5AGN5	A0A7K5AGN5_9FURN	ELMO2 protein	Elmo2 FURFIG_R13213	Furnarius figulus	720	DOMAIN 311..485; /note="ELMO"; /evidence="ECO:0000259|PROSITE:PS51335"
A0A7K5ALN2	A0A7K5ALN2_9FURN	ELMO3 protein	Elmo3 FURFIG_R04711	Furnarius figulus	719	DOMAIN 307..480; /note="ELMO"; /evidence="ECO:0000259|PROSITE:PS51335"
A0A7K5B6G0	A0A7K5B6G0_9FURN	ELMO1 protein	Elmo1_1 FURFIG_R14962	Furnarius figulus	288	DOMAIN 1..49; /note="ELMO"; /evidence="ECO:0000259|PROSITE:PS51335"
A0A7K5BSP8	A0A7K5BSP8_MOTAL	ELMO1 protein	Elmo1 MOTALB_R13824	Motacilla alba (White wagtail) (Pied wagtail)	744	DOMAIN 332..505; /note="ELMO"; /evidence="ECO:0000259|PROSITE:PS51335"
A0A7K5BSX6	A0A7K5BSX6_MOTAL	ELMO2 protein	Elmo2 MOTALB_R07415	Motacilla alba (White wagtail) (Pied wagtail)	720	DOMAIN 311..485; /note="ELMO"; /evidence="ECO:0000259|PROSITE:PS51335"
A0A7K5BYA4	A0A7K5BYA4_MOTAL	ELMO3 protein	Elmo3 MOTALB_R02573	Motacilla alba (White wagtail) (Pied wagtail)	679	DOMAIN 267..440; /note="ELMO"; /evidence="ECO:0000259|PROSITE:PS51335"
A0A7K5CKC4	A0A7K5CKC4_MOTAL	CRK protein	Crk MOTALB_R02055	Motacilla alba (White wagtail) (Pied wagtail)	223	DOMAIN 51..111; /note="SH3"; /evidence="ECO:0000259|PROSITE:PS50002"; DOMAIN 154..215; /note="SH3"; /evidence="ECO:0000259|PROSITE:PS50002"
A0A7K5CNK0	A0A7K5CNK0_9TYRA	ELMO1 protein	Elmo1 PACMIN_R00894	Pachyramphus minor	744	DOMAIN 332..505; /note="ELMO"; /evidence="ECO:0000259|PROSITE:PS51335"
A0A7K5D367	A0A7K5D367_9TYRA	ELMO2 protein	Elmo2 PACMIN_R10650	Pachyramphus minor	747	DOMAIN 311..485; /note="ELMO"; /evidence="ECO:0000259|PROSITE:PS51335"
A0A7K5DP61	A0A7K5DP61_9TYRA	ELMO3 protein	Elmo3 PACMIN_R07714	Pachyramphus minor	745	DOMAIN 333..506; /note="ELMO"; /evidence="ECO:0000259|PROSITE:PS51335"
A0A7K5DWU1	A0A7K5DWU1_POLCE	ELMO3 protein	Elmo3 POLCAE_R03039	Polioptila caerulea (Blue-grey gnatcatcher)	696	DOMAIN 284..457; /note="ELMO"; /evidence="ECO:0000259|PROSITE:PS51335"
A0A7K5E0D1	A0A7K5E0D1_POLCE	ELMO1 protein	Elmo1 POLCAE_R02276	Polioptila caerulea (Blue-grey gnatcatcher)	744	DOMAIN 332..505; /note="ELMO"; /evidence="ECO:0000259|PROSITE:PS51335"
A0A7K5EV86	A0A7K5EV86_POLCE	ELMO2 protein	Elmo2 POLCAE_R13220	Polioptila caerulea (Blue-grey gnatcatcher)	718	DOMAIN 311..485; /note="ELMO"; /evidence="ECO:0000259|PROSITE:PS51335"
A0A7K5FAK1	A0A7K5FAK1_PROAR	ELMO2 protein	Elmo2 PROATE_R04387	Probosciger aterrimus (Palm cockatoo)	720	DOMAIN 311..485; /note="ELMO"; /evidence="ECO:0000259|PROSITE:PS51335"
A0A7K5FLF6	A0A7K5FLF6_PROAR	CRK protein	Crk PROATE_R10514	Probosciger aterrimus (Palm cockatoo)	305	DOMAIN 13..119; /note="SH2"; /evidence="ECO:0000259|PROSITE:PS50001"; DOMAIN 133..193; /note="SH3"; /evidence="ECO:0000259|PROSITE:PS50002"; DOMAIN 236..297; /note="SH3"; /evidence="ECO:0000259|PROSITE:PS50002"
A0A7K5FP99	A0A7K5FP99_PROAR	ELMO3 protein	Elmo3 PROATE_R10797	Probosciger aterrimus (Palm cockatoo)	719	DOMAIN 307..480; /note="ELMO"; /evidence="ECO:0000259|PROSITE:PS51335"
A0A7K5GFR7	A0A7K5GFR7_9AVES	ELMO1 protein	Elmo1 CHUBUR_R04024	Chunga burmeisteri (Black-legged seriema)	744	DOMAIN 332..505; /note="ELMO"; /evidence="ECO:0000259|PROSITE:PS51335"
A0A7K5GQM0	A0A7K5GQM0_9AVES	ELMO2 protein	Elmo2 CHUBUR_R06298	Chunga burmeisteri (Black-legged seriema)	720	DOMAIN 311..485; /note="ELMO"; /evidence="ECO:0000259|PROSITE:PS51335"
A0A7K5GU97	A0A7K5GU97_9AVES	ELMO3 protein	Elmo3 CHUBUR_R07898	Chunga burmeisteri (Black-legged seriema)	744	DOMAIN 332..505; /note="ELMO"; /evidence="ECO:0000259|PROSITE:PS51335"
A0A7K5GWE0	A0A7K5GWE0_9AVES	CRK protein	Crk CHUBUR_R03792	Chunga burmeisteri (Black-legged seriema)	305	DOMAIN 13..119; /note="SH2"; /evidence="ECO:0000259|PROSITE:PS50001"; DOMAIN 133..193; /note="SH3"; /evidence="ECO:0000259|PROSITE:PS50002"; DOMAIN 236..297; /note="SH3"; /evidence="ECO:0000259|PROSITE:PS50002"
A0A7K5HDN7	A0A7K5HDN7_CROSL	ELMO3 protein	Elmo3 CROSUL_R00010	Crotophaga sulcirostris (Groove-billed ani)	743	DOMAIN 331..504; /note="ELMO"; /evidence="ECO:0000259|PROSITE:PS51335"
A0A7K5HVD2	A0A7K5HVD2_CROSL	ELMO1 protein	Elmo1 CROSUL_R07275	Crotophaga sulcirostris (Groove-billed ani)	744	DOMAIN 332..505; /note="ELMO"; /evidence="ECO:0000259|PROSITE:PS51335"
